Film	Location	Lat	Lon
"'More strasti'" (2000)	Montenegro
	42.9868853	19.5180992
"100 Greatest Artists of Hard Rock" (2000)	Los Angeles, California, USA
	34.0536909	-118.242766
"100 Greatest Artists of Hard Rock" (2000)	New York, USA
	40.7127281	-74.0060152
"106 & Park Top 10 Live" (2000)	 New York City, New York, USA
	40.7127281	-74.0060152
"106 & Park Top 10 Live" (2000)	 New York City, New York, USA
	40.7127281	-74.0060152
"18 Wheels of Justice" (2000)	San Diego, California, USA
	32.7174202	-117.1627728
"2000 Jahre Christentum" (2000) {Neue Welten - Hinter dem europ�ischen Horizont (#1.9)}	Antigua, Guatemala
	14.5589875	-90.7333258
"2000 Jahre Christentum" (2000) {Neue Welten - Hinter dem europ�ischen Horizont (#1.9)}	Guatemala
	15.687100699999998	-90.12265453178017
"2000 Presidential Debates" (2000) {(#1.1)}	 Boston, Massachusetts, USA
	42.3602534	-71.0582912
"2000 Presidential Debates" (2000) {(#1.2)}	 Winston-Salem, North Carolina, USA
	36.0998131	-80.2440518
"2000 Presidential Debates" (2000) {(#1.3)}	 St. Louis, Missouri, USA
	38.6264256	-90.1995853
"2gether: The Series" (2000)	 Burnaby, British Columbia, Canada
	49.2433804	-122.9725459
"2gether: The Series" (2000)	Vancouver, British Columbia, Canada
	49.2608724	-123.113952
"2gether: The Series" (2000)	 Vancouver, British Columbia, Canada	49.2608724	-123.113952
"A Dinner of Herbs" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A Dinner of Herbs" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A Dinner of Herbs" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A Dinner of Herbs" (2000)	 Tyne & Wear, England, UK
	55.0105045	-1.4134705
"A History of Britain" (2000)	 Caen, Calvados, France
	49.1813403	-0.3635615
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Angus, Scotland, UK
	56.666667	-2.916667
"A History of Britain" (2000)	 Stirling, Scotland, UK
	56.1181242	-3.9360012
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 East Sussex, England, UK
	50.9404266	0.3699977891068864
"A History of Britain" (2000)	 Anglesey, Wales, UK
	53.2782273	-4.33133929345189
"A History of Britain" (2000)	 Gloucestershire, England, UK
	51.8333313	-2.1666674
"A History of Britain" (2000)	 Northumberland, England, UK
	55.2970562	-2.0677894217139507
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Norfolk, England, UK
	52.666667	1.0
"A History of Britain" (2000)	 Merseyside, England, UK
	53.4953602	-2.973937960086006
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	Boston, Massachusetts, USA
	42.3602534	-71.0582912
"A History of Britain" (2000)	 South Lanarkshire, Scotland, UK
	55.5831634	-3.8332212
"A History of Britain" (2000)	 Essex, England, UK
	51.77046785	0.46466977412300386
"A History of Britain" (2000)	 Oxfordshire, England, UK
	51.833333	-1.25
"A History of Britain" (2000)	 London, England, UK
	51.5073219	-0.1276474
"A History of Britain" (2000)	 Gwynedd, Wales, UK
	52.9089585	-3.8335244282124785
"A History of Britain" (2000)	 Caerphilly, Wales, UK
	51.6723809	-3.178393772876317
"A History of Britain" (2000)	Calcutta, West Bengal, India
	22.5726723	88.3638815
"A History of Britain" (2000)	 Cumbria, England, UK
	54.6143136	-2.9420899468770427
"A History of Britain" (2000)	 County Antrim, Northern Ireland, UK
	54.864725500000006	-6.143637910742768
"A History of Britain" (2000)	 Staffordshire, England, UK
	52.824694199999996	-2.0074546723348115
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	 Kent, England, UK
	51.20707485	0.7210361813401444
"A History of Britain" (2000)	Chennai, Tamil Nadu, India
	13.0836939	80.270186
"A History of Britain" (2000)	 Staffordshire, England, UK
	52.824694199999996	-2.0074546723348115
"A History of Britain" (2000)	 Chinon, Indre-et-Loire, France
	47.1667182	0.2402095
"A History of Britain" (2000)	 Falaise, Calvados, France
	48.8964741	-0.1999129
"A History of Britain" (2000)	 Paris 1, Paris, France
	48.9011331	2.3899219
"A History of Britain" (2000)	 Conwy, Wales, UK
	53.1460931	-3.759920155777771
"A History of Britain" (2000)	 Dorset, England, UK
	50.79683685	-2.34473226124306
"A History of Britain" (2000)	County Galway, Ireland
	53.34350465	-8.873374084151076
"A History of Britain" (2000)	 Highland, Scotland, UK
	57.58488045	-4.917646755786513
"A History of Britain" (2000)	Delhi, India
	28.6517178	77.2219388
"A History of Britain" (2000)	 Denbighshire, Wales, UK
	53.1097895	-3.367128402684635
